species	taxid	gene_stable_id	transcript_stable_id	protein_stable_id	primary_accession	secondary_accession
Mycobacterium_tuberculosis_h37rv	83332	Rv0345	CCP43075	CCP43075	AL123456	CCP43075
Mycobacterium_tuberculosis_h37rv	83332	Rv0346c	CCP43076	CCP43076	AL123456	CCP43076
Mycobacterium_tuberculosis_h37rv	83332	Rv0347	CCP43077	CCP43077	AL123456	CCP43077
Mycobacterium_tuberculosis_h37rv	83332	Rv0348	CCP43078	CCP43078	AL123456	CCP43078
Mycobacterium_tuberculosis_h37rv	83332	Rv0349	CCP43079	CCP43079	AL123456	CCP43079
Mycobacterium_tuberculosis_h37rv	83332	Rv0350	CCP43080	CCP43080	AL123456	CCP43080
Mycobacterium_tuberculosis_h37rv	83332	Rv0351	CCP43081	CCP43081	AL123456	CCP43081
Mycobacterium_tuberculosis_h37rv	83332	Rv0352	CCP43082	CCP43082	AL123456	CCP43082
Mycobacterium_tuberculosis_h37rv	83332	Rv0353	CCP43083	CCP43083	AL123456	CCP43083
Mycobacterium_tuberculosis_h37rv	83332	Rv0354c	CCP43084	CCP43084	AL123456	CCP43084
Mycobacterium_tuberculosis_h37rv	83332	Rv0355c	CCP43085	CCP43085	AL123456	CCP43085
Mycobacterium_tuberculosis_h37rv	83332	Rv0356c	CCP43086	CCP43086	AL123456	CCP43086
Mycobacterium_tuberculosis_h37rv	83332	Rv0357c	CCP43087	CCP43087	AL123456	CCP43087
Mycobacterium_tuberculosis_h37rv	83332	Rv0358	CCP43088	CCP43088	AL123456	CCP43088
Mycobacterium_tuberculosis_h37rv	83332	Rv0359	CCP43089	CCP43089	AL123456	CCP43089
Mycobacterium_tuberculosis_h37rv	83332	Rv0360c	CCP43090	CCP43090	AL123456	CCP43090
Mycobacterium_tuberculosis_h37rv	83332	Rv0361	CCP43091	CCP43091	AL123456	CCP43091
Mycobacterium_tuberculosis_h37rv	83332	Rv0362	CCP43092	CCP43092	AL123456	CCP43092
Mycobacterium_tuberculosis_h37rv	83332	Rv0363c	CCP43093	CCP43093	AL123456	CCP43093
Mycobacterium_tuberculosis_h37rv	83332	Rv0364	CCP43094	CCP43094	AL123456	CCP43094
Mycobacterium_tuberculosis_h37rv	83332	Rv0365c	CCP43095	CCP43095	AL123456	CCP43095
Mycobacterium_tuberculosis_h37rv	83332	Rv0366c	CCP43096	CCP43096	AL123456	CCP43096
Mycobacterium_tuberculosis_h37rv	83332	Rv0367c	CCP43097	CCP43097	AL123456	CCP43097
Mycobacterium_tuberculosis_h37rv	83332	Rv0368c	CCP43098	CCP43098	AL123456	CCP43098
Mycobacterium_tuberculosis_h37rv	83332	Rv0369c	CCP43099	CCP43099	AL123456	CCP43099
Mycobacterium_tuberculosis_h37rv	83332	Rv0370c	CCP43100	CCP43100	AL123456	CCP43100
Mycobacterium_tuberculosis_h37rv	83332	Rv0371c	CCP43101	CCP43101	AL123456	CCP43101
Mycobacterium_tuberculosis_h37rv	83332	Rv0372c	CCP43102	CCP43102	AL123456	CCP43102
Mycobacterium_tuberculosis_h37rv	83332	Rv0373c	CCP43103	CCP43103	AL123456	CCP43103
Mycobacterium_tuberculosis_h37rv	83332	Rv0374c	CCP43104	CCP43104	AL123456	CCP43104
Mycobacterium_tuberculosis_h37rv	83332	Rv0375c	CCP43105	CCP43105	AL123456	CCP43105
Mycobacterium_tuberculosis_h37rv	83332	Rv0376c	CCP43106	CCP43106	AL123456	CCP43106
Mycobacterium_tuberculosis_h37rv	83332	Rv0377	CCP43107	CCP43107	AL123456	CCP43107
Mycobacterium_tuberculosis_h37rv	83332	Rv0378	CCP43108	CCP43108	AL123456	CCP43108
Mycobacterium_tuberculosis_h37rv	83332	Rv0379	CCP43109	CCP43109	AL123456	CCP43109
Mycobacterium_tuberculosis_h37rv	83332	Rv0380c	CCP43110	CCP43110	AL123456	CCP43110
Mycobacterium_tuberculosis_h37rv	83332	Rv0381c	CCP43111	CCP43111	AL123456	CCP43111
Mycobacterium_tuberculosis_h37rv	83332	Rv0382c	CCP43112	CCP43112	AL123456	CCP43112
Mycobacterium_tuberculosis_h37rv	83332	Rv0383c	CCP43113	CCP43113	AL123456	CCP43113
Mycobacterium_tuberculosis_h37rv	83332	Rv0384c	CCP43114	CCP43114	AL123456	CCP43114
Mycobacterium_tuberculosis_h37rv	83332	Rv0385	CCP43115	CCP43115	AL123456	CCP43115
Mycobacterium_tuberculosis_h37rv	83332	Rv0386	CCP43116	CCP43116	AL123456	CCP43116
Mycobacterium_tuberculosis_h37rv	83332	Rv0387c	CCP43117	CCP43117	AL123456	CCP43117
Mycobacterium_tuberculosis_h37rv	83332	Rv0388c	CCP43118	CCP43118	AL123456	CCP43118
Mycobacterium_tuberculosis_h37rv	83332	Rv0389	CCP43119	CCP43119	AL123456	CCP43119
Mycobacterium_tuberculosis_h37rv	83332	Rv0390	CCP43120	CCP43120	AL123456	CCP43120
Mycobacterium_tuberculosis_h37rv	83332	Rv0391	CCP43121	CCP43121	AL123456	CCP43121
Mycobacterium_tuberculosis_h37rv	83332	Rv0392c	CCP43122	CCP43122	AL123456	CCP43122
Mycobacterium_tuberculosis_h37rv	83332	Rv0393	CCP43123	CCP43123	AL123456	CCP43123
Mycobacterium_tuberculosis_h37rv	83332	Rv0394c	CCP43124	CCP43124	AL123456	CCP43124
Mycobacterium_tuberculosis_h37rv	83332	Rv0395	CCP43125	CCP43125	AL123456	CCP43125
Mycobacterium_tuberculosis_h37rv	83332	Rv0396	CCP43126	CCP43126	AL123456	CCP43126
Mycobacterium_tuberculosis_h37rv	83332	Rv0397	CCP43127	CCP43127	AL123456	CCP43127
Mycobacterium_tuberculosis_h37rv	83332	Rv0397A	CCP43128	CCP43128	AL123456	CCP43128
Mycobacterium_tuberculosis_h37rv	83332	Rv0398c	CCP43129	CCP43129	AL123456	CCP43129
Mycobacterium_tuberculosis_h37rv	83332	Rv0399c	CCP43130	CCP43130	AL123456	CCP43130
Mycobacterium_tuberculosis_h37rv	83332	Rv0400c	CCP43131	CCP43131	AL123456	CCP43131
Mycobacterium_tuberculosis_h37rv	83332	Rv0401	CCP43132	CCP43132	AL123456	CCP43132
Mycobacterium_tuberculosis_h37rv	83332	Rv0402c	CCP43133	CCP43133	AL123456	CCP43133
Mycobacterium_tuberculosis_h37rv	83332	Rv0403c	CCP43134	CCP43134	AL123456	CCP43134
Mycobacterium_tuberculosis_h37rv	83332	Rv0404	CCP43135	CCP43135	AL123456	CCP43135
Mycobacterium_tuberculosis_h37rv	83332	Rv0405	CCP43136	CCP43136	AL123456	CCP43136
Mycobacterium_tuberculosis_h37rv	83332	Rv0406c	CCP43137	CCP43137	AL123456	CCP43137
Mycobacterium_tuberculosis_h37rv	83332	Rv0407	CCP43138	CCP43138	AL123456	CCP43138
Mycobacterium_tuberculosis_h37rv	83332	Rv0408	CCP43139	CCP43139	AL123456	CCP43139
Mycobacterium_tuberculosis_h37rv	83332	Rv0409	CCP43140	CCP43140	AL123456	CCP43140
Mycobacterium_tuberculosis_h37rv	83332	Rv0410c	CCP43141	CCP43141	AL123456	CCP43141
